Date,Hour,Minute,Generator,Output,Output DA,Curtailment,Unit Market Revenue,Unit Uplift Payment
2020-07-10,16,0,1_HYDRO,38.2,38.2,0.0,578.89235,0.0
2020-07-10,16,0,4_WIND,14.75,0.0,0.0,217.934938,0.0
2020-07-10,17,0,10_PV,6.0,4.0,0.0,90.9255,0.0
2020-07-10,17,0,2_RTPV,1.4,0.2,-0.0,21.21595,0.0
2020-07-10,17,0,1_HYDRO,38.158,37.7,0.0,578.255871,0.0
2020-07-10,17,0,4_WIND,11.891,0.0,0.0,180.199187,0.0
2020-07-10,18,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,18,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,18,0,1_HYDRO,37.7,37.7,0.0,571.315225,0.0
2020-07-10,18,0,4_WIND,4.776,0.0,0.0,72.376698,0.0
2020-07-10,19,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,19,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,19,0,1_HYDRO,36.683,25.5,0.0,2654.765207,0.0
2020-07-10,19,0,4_WIND,1.48,0.2,0.0,38.889952,0.0
2020-07-10,20,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,20,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,20,0,1_HYDRO,24.433,12.7,0.0,1532.176503,0.0
2020-07-10,20,0,4_WIND,0.589,0.2,-0.0,27.223691,0.0
2020-07-10,21,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,21,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,21,0,1_HYDRO,12.7,12.7,0.0,239.668812,0.0
2020-07-10,21,0,4_WIND,0.841,0.1,-0.0,56.27424,0.0
2020-07-10,22,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,22,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,22,0,1_HYDRO,12.7,12.7,0.0,239.680204,0.0
2020-07-10,22,0,4_WIND,0.891,0.0,0.0,13.502437,0.0
2020-07-10,23,0,10_PV,0.0,0.0,0.0,0.0,0.0
2020-07-10,23,0,2_RTPV,0.0,0.0,0.0,0.0,0.0
2020-07-10,23,0,1_HYDRO,12.7,12.7,0.0,239.577766,0.0
2020-07-10,23,0,4_WIND,1.446,1.4,-0.0,27.107243,0.0
